frame,timestamp,push_latency_ms
0.000000000000000000e+00,1.305031102175303936e+09,4.185246769999366734e+02
1.000000000000000000e+00,1.305031102511219025e+09,5.980140230000188240e+02
2.000000000000000000e+00,1.305031102843290091e+09,6.613056620000179464e+02
3.000000000000000000e+00,1.305031103175451994e+09,9.585988899999620116e+02
4.000000000000000000e+00,1.305031103511332989e+09,8.515710439999111259e+02
5.000000000000000000e+00,1.305031103843250990e+09,8.703492849999747705e+02
6.000000000000000000e+00,1.305031104175424099e+09,8.915703310000253623e+02
7.000000000000000000e+00,1.305031104511328936e+09,9.904576490000636113e+02
8.000000000000000000e+00,1.305031104843257904e+09,1.018003675000045405e+03
9.000000000000000000e+00,1.305031105175158978e+09,9.186728239999411016e+02
1.000000000000000000e+01,1.305031105511332035e+09,8.446904900000617999e+02
1.100000000000000000e+01,1.305031105843271017e+09,2.401579232000017328e+03
1.200000000000000000e+01,1.305031106175534010e+09,7.707322569999632833e+02
1.300000000000000000e+01,1.305031106511128902e+09,6.277518809999946825e+02
1.400000000000000000e+01,1.305031106843415976e+09,8.689992490000122416e+02
1.500000000000000000e+01,1.305031107175399065e+09,2.602451470000005429e+03
1.600000000000000000e+01,1.305031107511352062e+09,7.063847320000604668e+02
1.700000000000000000e+01,1.305031107843332052e+09,6.415230179999298343e+02
1.800000000000000000e+01,1.305031108176058054e+09,9.088481279999314211e+02
1.900000000000000000e+01,1.305031108511378050e+09,2.239872031000004426e+03
2.000000000000000000e+01,1.305031108843264103e+09,6.528940890000285435e+02
2.100000000000000000e+01,1.305031109175463915e+09,6.496640440000192029e+02
2.200000000000000000e+01,1.305031109511272907e+09,8.354534650000005058e+02
2.300000000000000000e+01,1.305031109843296051e+09,2.291812381999989157e+03
2.400000000000000000e+01,1.305031110175641060e+09,6.767411939999874448e+02
2.500000000000000000e+01,1.305031110511429071e+09,6.456706810000696350e+02
2.600000000000000000e+01,1.305031110843218088e+09,8.144774479999341565e+02
2.700000000000000000e+01,1.305031111179326057e+09,2.687327351000021736e+03
2.800000000000000000e+01,1.305031111511264086e+09,6.471923420000393889e+02
2.900000000000000000e+01,1.305031111843298912e+09,6.610862720000341142e+02
3.000000000000000000e+01,1.305031112179389954e+09,9.134423990000186677e+02
3.100000000000000000e+01,1.305031112511503935e+09,6.828588501000012911e+03
3.200000000000000000e+01,1.305031112843286037e+09,7.270084320000478328e+02
3.300000000000000000e+01,1.305031113179342985e+09,6.916098570000031032e+02
3.400000000000000000e+01,1.305031113511523008e+09,9.818582489999698737e+02
3.500000000000000000e+01,1.305031113843295097e+09,3.146296508999967045e+03
3.600000000000000000e+01,1.305031114179337025e+09,6.121572539999533547e+02
3.700000000000000000e+01,1.305031114511265993e+09,6.389753180000070643e+02
3.800000000000000000e+01,1.305031114843208075e+09,9.460410489999730999e+02
3.900000000000000000e+01,1.305031115179440022e+09,5.974030408999965402e+03
4.000000000000000000e+01,1.305031115511253119e+09,7.048469840000279873e+02
4.100000000000000000e+01,1.305031115843224049e+09,6.409886379999534256e+02
4.200000000000000000e+01,1.305031116179572105e+09,1.016430279000019254e+03
4.300000000000000000e+01,1.305031116511204958e+09,6.878987072000086300e+03
4.400000000000000000e+01,1.305031116846088886e+09,7.242617470000141111e+02
4.500000000000000000e+01,1.305031117179264069e+09,6.350528979999126022e+02
4.600000000000000000e+01,1.305031117511324883e+09,8.532553929999266984e+02
4.700000000000000000e+01,1.305031117843291044e+09,3.758858424999971248e+03
4.800000000000000000e+01,1.305031118179322958e+09,6.477607099999431739e+02
4.900000000000000000e+01,1.305031118511255026e+09,6.661568969999507317e+02
5.000000000000000000e+01,1.305031118846752882e+09,8.904890370000657640e+02
5.100000000000000000e+01,1.305031119179225922e+09,7.866547873000058644e+03
5.200000000000000000e+01,1.305031119511240005e+09,6.982123400000546098e+02
5.300000000000000000e+01,1.305031119847429037e+09,7.415131579999751921e+02
5.400000000000000000e+01,1.305031120179245949e+09,8.780693639999981315e+02
5.500000000000000000e+01,1.305031120514818907e+09,1.198031794399992214e+04
5.600000000000000000e+01,1.305031120847920895e+09,6.482348829999864392e+02
5.700000000000000000e+01,1.305031121183270931e+09,7.150042929999926855e+02
5.800000000000000000e+01,1.305031121514106989e+09,8.695950669999774618e+02
5.900000000000000000e+01,1.305031121847335100e+09,6.026222052999969492e+03
6.000000000000000000e+01,1.305031122183042049e+09,6.712319209999577652e+02
6.100000000000000000e+01,1.305031122515096903e+09,7.145824100000481849e+02
6.200000000000000000e+01,1.305031122851418018e+09,9.526969739999913145e+02
6.300000000000000000e+01,1.305031123182154894e+09,8.991772929000035219e+03
6.400000000000000000e+01,1.305031123511359930e+09,7.337735060000341036e+02
6.500000000000000000e+01,1.305031123851444006e+09,6.828042680000407927e+02
6.600000000000000000e+01,1.305031124182693958e+09,8.346957750000001397e+02
6.700000000000000000e+01,1.305031124511323929e+09,1.274965281099991989e+04
6.800000000000000000e+01,1.305031124850534916e+09,6.598300319999452768e+02
6.900000000000000000e+01,1.305031125179352999e+09,7.268721189999496346e+02
7.000000000000000000e+01,1.305031125511316061e+09,8.301663020000660254e+02
7.100000000000000000e+01,1.305031125847412109e+09,4.352166061999923841e+03
7.200000000000000000e+01,1.305031126179383993e+09,7.533623450000277444e+02
7.300000000000000000e+01,1.305031126511409998e+09,6.865275209999026629e+02
7.400000000000000000e+01,1.305031126847342968e+09,8.955398209999430037e+02
7.500000000000000000e+01,1.305031127179348946e+09,7.357264089999944190e+03
7.600000000000000000e+01,1.305031127511356115e+09,6.544124640000745785e+02
7.700000000000000000e+01,1.305031127847366095e+09,6.656849780000584360e+02
7.800000000000000000e+01,1.305031128179349899e+09,8.539169020000372257e+02
7.900000000000000000e+01,1.305031128511432886e+09,1.323055744700002469e+04
