frame,timestamp,push_latency_ms
0.000000000000000000e+00,1.305031102175303936e+09,3.374404979999781062e+02
1.000000000000000000e+00,1.305031102511219025e+09,5.684353220000275542e+02
2.000000000000000000e+00,1.305031102843290091e+09,6.966501699999980701e+02
3.000000000000000000e+00,1.305031103175451994e+09,9.868203339999581658e+02
4.000000000000000000e+00,1.305031103511332989e+09,9.893171379999330384e+02
5.000000000000000000e+00,1.305031103843250990e+09,1.018673178999961237e+03
6.000000000000000000e+00,1.305031104175424099e+09,9.081261989999802609e+02
7.000000000000000000e+00,1.305031104511328936e+09,9.416139070000326683e+02
8.000000000000000000e+00,1.305031104843257904e+09,8.318279820000498148e+02
9.000000000000000000e+00,1.305031105175158978e+09,8.533356890000050043e+02
1.000000000000000000e+01,1.305031105511332035e+09,1.029728475999945658e+03
1.100000000000000000e+01,1.305031105843271017e+09,8.499900949999528166e+02
1.200000000000000000e+01,1.305031106175534010e+09,9.954401879999750236e+02
1.300000000000000000e+01,1.305031106511128902e+09,9.678939679999984946e+02
1.400000000000000000e+01,1.305031106843415976e+09,9.310388569999759056e+02
1.500000000000000000e+01,1.305031107175399065e+09,8.232083070000726366e+02
1.600000000000000000e+01,1.305031107511352062e+09,9.978764219999902707e+02
1.700000000000000000e+01,1.305031107843332052e+09,1.094169841000052656e+03
1.800000000000000000e+01,1.305031108176058054e+09,8.695309759999645394e+02
1.900000000000000000e+01,1.305031108511378050e+09,9.824748980000777010e+02
2.000000000000000000e+01,1.305031108843264103e+09,9.980279559999871708e+02
2.100000000000000000e+01,1.305031109175463915e+09,1.030960609999965527e+03
2.200000000000000000e+01,1.305031109511272907e+09,8.428745960000014747e+02
2.300000000000000000e+01,1.305031109843296051e+09,8.397123060000240002e+02
2.400000000000000000e+01,1.305031110175641060e+09,1.076679847000036716e+03
2.500000000000000000e+01,1.305031110511429071e+09,1.077851834000057352e+03
2.600000000000000000e+01,1.305031110843218088e+09,8.867921599999135651e+02
2.700000000000000000e+01,1.305031111179326057e+09,8.630538639999940642e+02
2.800000000000000000e+01,1.305031111511264086e+09,9.969290149999778805e+02
2.900000000000000000e+01,1.305031111843298912e+09,1.047134846999938418e+03
3.000000000000000000e+01,1.305031112179389954e+09,1.033388178999985030e+03
3.100000000000000000e+01,1.305031112511503935e+09,8.555351410000184842e+02
3.200000000000000000e+01,1.305031112843286037e+09,9.977798150000580790e+02
3.300000000000000000e+01,1.305031113179342985e+09,9.824310070000592532e+02
3.400000000000000000e+01,1.305031113511523008e+09,9.181734149999556394e+02
3.500000000000000000e+01,1.305031113843295097e+09,1.115678715000058219e+03
3.600000000000000000e+01,1.305031114179337025e+09,9.821275350000178150e+02
3.700000000000000000e+01,1.305031114511265993e+09,1.017495716999974320e+03
3.800000000000000000e+01,1.305031114843208075e+09,1.156155050999927880e+03
3.900000000000000000e+01,1.305031115179440022e+09,1.355207604000042920e+03
4.000000000000000000e+01,1.305031115511253119e+09,8.175599280000369617e+02
4.100000000000000000e+01,1.305031115843224049e+09,9.777864899999713089e+02
4.200000000000000000e+01,1.305031116179572105e+09,9.658487770000192540e+02
4.300000000000000000e+01,1.305031116511204958e+09,9.369504340000958109e+02
4.400000000000000000e+01,1.305031116846088886e+09,1.574577999000098316e+03
4.500000000000000000e+01,1.305031117179264069e+09,1.045115670999962276e+03
4.600000000000000000e+01,1.305031117511324883e+09,1.031017193000025145e+03
4.700000000000000000e+01,1.305031117843291044e+09,1.092153254000095330e+03
4.800000000000000000e+01,1.305031118179322958e+09,1.033483469999964655e+03
4.900000000000000000e+01,1.305031118511255026e+09,1.033474688999945101e+03
5.000000000000000000e+01,1.305031118846752882e+09,1.803078055000014501e+03
5.100000000000000000e+01,1.305031119179225922e+09,1.757337699999993674e+03
5.200000000000000000e+01,1.305031119511240005e+09,1.174215357999969456e+03
5.300000000000000000e+01,1.305031119847429037e+09,1.032364029000063965e+03
5.400000000000000000e+01,1.305031120179245949e+09,8.790260289999878296e+02
5.500000000000000000e+01,1.305031120514818907e+09,9.685266760000104114e+02
5.600000000000000000e+01,1.305031120847920895e+09,9.307869130000199220e+02
5.700000000000000000e+01,1.305031121183270931e+09,9.394097549999287367e+02
5.800000000000000000e+01,1.305031121514106989e+09,1.032003931000076591e+03
5.900000000000000000e+01,1.305031121847335100e+09,2.336419554000030985e+03
6.000000000000000000e+01,1.305031122183042049e+09,8.604520060000595549e+02
6.100000000000000000e+01,1.305031122515096903e+09,9.086291489999211990e+02
6.200000000000000000e+01,1.305031122851418018e+09,1.008490993000009439e+03
6.300000000000000000e+01,1.305031123182154894e+09,1.006558901700009301e+04
6.400000000000000000e+01,1.305031123511359930e+09,1.250136559999987185e+03
6.500000000000000000e+01,1.305031123851444006e+09,1.365108213999974396e+03
6.600000000000000000e+01,1.305031124182693958e+09,1.700973019999992175e+03
6.700000000000000000e+01,1.305031124511323929e+09,1.718629606000035892e+03
6.800000000000000000e+01,1.305031124850534916e+09,1.188179150999985723e+03
6.900000000000000000e+01,1.305031125179352999e+09,1.057895617999975002e+03
7.000000000000000000e+01,1.305031125511316061e+09,1.076526257000068654e+03
7.100000000000000000e+01,1.305031125847412109e+09,4.705661626000051001e+03
7.200000000000000000e+01,1.305031126179383993e+09,1.010230624999962856e+03
7.300000000000000000e+01,1.305031126511409998e+09,9.709563000000116517e+02
7.400000000000000000e+01,1.305031126847342968e+09,1.036422388999994837e+03
7.500000000000000000e+01,1.305031127179348946e+09,9.119522101000029579e+03
7.600000000000000000e+01,1.305031127511356115e+09,1.973259761999997863e+03
7.700000000000000000e+01,1.305031127847366095e+09,1.351316448000034143e+03
7.800000000000000000e+01,1.305031128179349899e+09,9.618193530000098690e+02
7.900000000000000000e+01,1.305031128511432886e+09,1.032811343999924247e+03
