frame,timestamp,push_latency_ms
0.000000000000000000e+00,1.305031102175303936e+09,3.560021320001851564e+02
1.000000000000000000e+00,1.305031102511219025e+09,5.273022129999844765e+02
2.000000000000000000e+00,1.305031102843290091e+09,7.110014659999706055e+02
3.000000000000000000e+00,1.305031103175451994e+09,1.049831084999823361e+03
4.000000000000000000e+00,1.305031103511332989e+09,9.612366429998928652e+02
5.000000000000000000e+00,1.305031103843250990e+09,8.577810889999000210e+02
6.000000000000000000e+00,1.305031104175424099e+09,8.588406320000103733e+02
7.000000000000000000e+00,1.305031104511328936e+09,8.541092049999861047e+02
8.000000000000000000e+00,1.305031104843257904e+09,9.050577890000113257e+02
9.000000000000000000e+00,1.305031105175158978e+09,8.291652140001133375e+02
1.000000000000000000e+01,1.305031105511332035e+09,8.346026990000154910e+02
1.100000000000000000e+01,1.305031105843271017e+09,2.254123883000147543e+03
1.200000000000000000e+01,1.305031106175534010e+09,7.212536500001078821e+02
1.300000000000000000e+01,1.305031106511128902e+09,6.954937570001220593e+02
1.400000000000000000e+01,1.305031106843415976e+09,9.813542179999785731e+02
1.500000000000000000e+01,1.305031107175399065e+09,2.580953324000120119e+03
1.600000000000000000e+01,1.305031107511352062e+09,7.114838869999857707e+02
1.700000000000000000e+01,1.305031107843332052e+09,6.572508199999447243e+02
1.800000000000000000e+01,1.305031108176058054e+09,8.335410079998837318e+02
1.900000000000000000e+01,1.305031108511378050e+09,2.402019620999908511e+03
2.000000000000000000e+01,1.305031108843264103e+09,6.844025830000646238e+02
2.100000000000000000e+01,1.305031109175463915e+09,7.471711700000014389e+02
2.200000000000000000e+01,1.305031109511272907e+09,9.314338289998431719e+02
2.300000000000000000e+01,1.305031109843296051e+09,2.498928943000009895e+03
2.400000000000000000e+01,1.305031110175641060e+09,7.059214360001533350e+02
2.500000000000000000e+01,1.305031110511429071e+09,7.011171979997925519e+02
2.600000000000000000e+01,1.305031110843218088e+09,8.630673760001172923e+02
2.700000000000000000e+01,1.305031111179326057e+09,2.704104592000021512e+03
2.800000000000000000e+01,1.305031111511264086e+09,7.541395299999749113e+02
2.900000000000000000e+01,1.305031111843298912e+09,6.183655830000134301e+02
3.000000000000000000e+01,1.305031112179389954e+09,8.914416650000021036e+02
3.100000000000000000e+01,1.305031112511503935e+09,7.067287361000126111e+03
3.200000000000000000e+01,1.305031112843286037e+09,7.631163700000342942e+02
3.300000000000000000e+01,1.305031113179342985e+09,6.788757469998927263e+02
3.400000000000000000e+01,1.305031113511523008e+09,9.503523160001350334e+02
3.500000000000000000e+01,1.305031113843295097e+09,2.810278062999941540e+03
3.600000000000000000e+01,1.305031114179337025e+09,6.968495630001143581e+02
3.700000000000000000e+01,1.305031114511265993e+09,6.687664519999998447e+02
3.800000000000000000e+01,1.305031114843208075e+09,9.136493160001464275e+02
3.900000000000000000e+01,1.305031115179440022e+09,5.712341414999855260e+03
4.000000000000000000e+01,1.305031115511253119e+09,6.863519070000165812e+02
4.100000000000000000e+01,1.305031115843224049e+09,6.709175660000710195e+02
4.200000000000000000e+01,1.305031116179572105e+09,1.013433389000056195e+03
4.300000000000000000e+01,1.305031116511204958e+09,7.384635253999931592e+03
4.400000000000000000e+01,1.305031116846088886e+09,7.471132799998940754e+02
4.500000000000000000e+01,1.305031117179264069e+09,8.484363969998867105e+02
4.600000000000000000e+01,1.305031117511324883e+09,9.862634950000028766e+02
4.700000000000000000e+01,1.305031117843291044e+09,3.742943577999994886e+03
4.800000000000000000e+01,1.305031118179322958e+09,6.261121860000002926e+02
4.900000000000000000e+01,1.305031118511255026e+09,7.649706909999167692e+02
5.000000000000000000e+01,1.305031118846752882e+09,8.482924209999964660e+02
5.100000000000000000e+01,1.305031119179225922e+09,8.299981807999984085e+03
5.200000000000000000e+01,1.305031119511240005e+09,7.523652989998481644e+02
5.300000000000000000e+01,1.305031119847429037e+09,6.664106629998514109e+02
5.400000000000000000e+01,1.305031120179245949e+09,8.673291659999904368e+02
5.500000000000000000e+01,1.305031120514818907e+09,1.226000402699992264e+04
5.600000000000000000e+01,1.305031120847920895e+09,7.262581400000271969e+02
5.700000000000000000e+01,1.305031121183270931e+09,7.218220190000010916e+02
5.800000000000000000e+01,1.305031121514106989e+09,1.040051081999990856e+03
5.900000000000000000e+01,1.305031121847335100e+09,5.479917646000103559e+03
6.000000000000000000e+01,1.305031122183042049e+09,6.855864589999782766e+02
6.100000000000000000e+01,1.305031122515096903e+09,6.135963189999529277e+02
6.200000000000000000e+01,1.305031122851418018e+09,8.926740480001171818e+02
6.300000000000000000e+01,1.305031123182154894e+09,8.423570595000001049e+03
6.400000000000000000e+01,1.305031123511359930e+09,7.418922629999542551e+02
6.500000000000000000e+01,1.305031123851444006e+09,7.219489530000373634e+02
6.600000000000000000e+01,1.305031124182693958e+09,1.089444584999910148e+03
6.700000000000000000e+01,1.305031124511323929e+09,1.406718929300018317e+04
6.800000000000000000e+01,1.305031124850534916e+09,6.586218660002032266e+02
6.900000000000000000e+01,1.305031125179352999e+09,7.546970159999091265e+02
7.000000000000000000e+01,1.305031125511316061e+09,8.544702229999074916e+02
7.100000000000000000e+01,1.305031125847412109e+09,4.369961321000118915e+03
7.200000000000000000e+01,1.305031126179383993e+09,6.187743759999193571e+02
7.300000000000000000e+01,1.305031126511409998e+09,6.454675980000956770e+02
7.400000000000000000e+01,1.305031126847342968e+09,8.290899080000144750e+02
7.500000000000000000e+01,1.305031127179348946e+09,6.946223443000008047e+03
7.600000000000000000e+01,1.305031127511356115e+09,6.288248789999215660e+02
7.700000000000000000e+01,1.305031127847366095e+09,6.238751270000193472e+02
