elapsed_s,cpu_time_s,rss_bytes,uss_bytes,threads
0.00946096600000601,4.3100000000000005,1188941824,1184702464,6
0.2182892719999927,4.67,1209888768,1205309440,8
0.4264932770000769,5.09,1237041152,1232797696,8
0.6352143920000799,5.55,1238315008,1234071552,8
0.8501587050000126,5.98,1244655616,1240399872,8
1.059708999999998,6.4799999999999995,1265541120,1261297664,8
1.2685027290000335,6.91,1266044928,1261801472,8
1.4771910150000167,7.34,1266229248,1261985792,8
1.6920063940000318,7.83,1273077760,1268830208,23
1.900430095000047,8.3,1272897536,1268654080,8
2.1123763690000033,8.73,1273028608,1268797440,8
2.3216015430000425,9.16,1278255104,1274023936,8
2.5308148950000486,9.59,1302372352,1296371712,8
2.739594979000003,10.1,1301053440,1296838656,8
2.9483243060000177,10.53,1301053440,1296838656,8
3.157144150000022,10.959999999999999,1301053440,1296838656,8
3.366095621999989,11.389999999999999,1302261760,1296838656,8
3.575081640999997,11.82,1338130432,1333915648,8
3.7841271700000334,12.34,1316823040,1312579584,8
3.99366339900007,12.77,1316823040,1312579584,8
4.202961663999986,13.18,1316823040,1312579584,8
4.412133739000069,13.62,1316823040,1312579584,8
4.622106105000057,14.04,1345003520,1340760064,8
4.8371282950000705,14.57,1320509440,1316245504,8
5.048191451999969,14.98,1320509440,1316245504,8
5.259477543999992,15.41,1320509440,1316265984,8
5.469459208999979,15.85,1341612032,1332060160,8
5.6788862690000315,16.34,1324150784,1319919616,8
5.888159592000079,16.77,1324150784,1319919616,8
6.09675409099998,17.19,1324150784,1319919616,8
6.305565662000049,17.62,1324150784,1319919616,8
6.517332443999976,18.049999999999997,1358979072,1354764288,8
6.727422638999997,18.58,1322528768,1318285312,8
6.937105869999982,19.009999999999998,1322528768,1318285312,8
7.145954572000051,19.43,1325076480,1319493632,8
7.355671864999977,19.869999999999997,1332764672,1328521216,8
7.565176656000062,20.39,1336602624,1332359168,8
7.774535458000059,20.82,1336602624,1332359168,8
7.984499831999983,21.25,1336602624,1332359168,8
8.19610999300005,21.69,1370312704,1366069248,8
8.405713543000047,22.209999999999997,1347432448,1343168512,8
8.617032605000077,22.639999999999997,1347432448,1343197184,8
8.830015290000006,23.07,1347432448,1343197184,8
9.038999861999969,23.5,1347432448,1343201280,8
9.248335944000019,23.919999999999998,1346781184,1342550016,8
9.458779786000036,24.44,1347108864,1342894080,8
9.669282046000035,24.88,1347108864,1342894080,8
9.879267776999995,25.3,1347108864,1342894080,8
10.088495765000062,25.740000000000002,1379491840,1371615232,8
10.297865563000073,26.67,1358635008,1352384512,11
10.507387945999994,27.49,1360142336,1355898880,11
10.716744248000055,28.32,1360146432,1355902976,11
10.926053449000051,29.159999999999997,1366609920,1362366464,11
11.135627603999978,30.009999999999998,1370796032,1366048768,11
11.344529842000043,30.939999999999998,1372618752,1368375296,11
11.553944291999983,31.73,1434259456,1429995520,11
11.770027391999974,32.589999999999996,1438445568,1434177536,18
11.981513725000013,33.11,1438826496,1434198016,18
12.194526442999972,33.63,1426296832,1422061568,18
12.405112748000079,34.07,1426296832,1422061568,18
12.614940875000002,34.5,1426296832,1422061568,18
12.848638334000043,35.0,1426296832,1422061568,18
13.05866229000003,35.44,1463549952,1459331072,18
13.272178022000048,35.96,1429037056,1424789504,18
13.481254826000054,36.39,1429037056,1424789504,18
13.691389585000024,36.81,1429041152,1424793600,18
13.907479943999988,37.37,1440571392,1436344320,21
14.121356931000037,38.3,1447366656,1443119104,18
14.334966108000003,39.14,1447366656,1443119104,18
14.547221594999996,40.0,1447399424,1443151872,18
14.761099187000013,40.84,1473171456,1458950144,18
14.97417386899997,41.76,1451061248,1446793216,18
15.184316545000001,42.59,1451061248,1446821888,18
15.396705753999981,43.43,1462833152,1458589696,18
15.606743531000006,44.26,1488355328,1484120064,18
15.816298490999998,44.93,1491214336,1486979072,18
16.029715935000013,45.36,1528500224,1520603136,29
16.24372263700002,45.87,1528369152,1524121600,18
16.453600198000004,46.309999999999995,1528369152,1524121600,18
16.66394759700006,46.74,1528369152,1524121600,18
16.87358507600004,47.160000000000004,1539649536,1535401984,18
17.083638798000038,47.67999999999999,1497567232,1493319680,18
17.293344445000002,48.11,1497567232,1493319680,18
17.50291448200005,48.53,1497567232,1493319680,18
17.713014088000023,48.97,1497567232,1493319680,18
17.93597197200006,49.68000000000001,1499594752,1495318528,33
18.146126471000002,50.54,1499402240,1495162880,18
18.35555863000002,51.38,1499406336,1495166976,18
18.573083042000007,52.27,1499406336,1495171072,18
18.78713140700006,53.120000000000005,1530511360,1526034432,18
18.99740999800008,54.04,1502404608,1498157056,18
19.208151431000033,54.89,1502404608,1498157056,18
19.422874623999974,55.74,1505529856,1501282304,18
19.632439789000045,56.419999999999995,1507848192,1503600640,18
19.842761705000044,56.849999999999994,1534263296,1526476800,18
20.05246252300003,57.37,1541586944,1537339392,18
20.262393782000004,57.800000000000004,1541586944,1537339392,18
20.471644574000038,58.220000000000006,1541586944,1537339392,18
20.681329651000055,58.65,1541586944,1537339392,18
20.89156721500001,59.18000000000001,1508093952,1503825920,18
21.10459943400008,59.63,1508093952,1503854592,18
21.314534381000044,60.05,1508093952,1503858688,18
21.52457037199997,60.480000000000004,1528475648,1519656960,18
21.738663400000064,61.230000000000004,1539846144,1535610880,18
21.955659509000043,62.11,1539846144,1535627264,18
22.16485521200002,62.910000000000004,1539846144,1535627264,18
22.374785998999982,63.75,1539846144,1535627264,18
22.58549460400002,64.58,1539846144,1535627264,18
22.796113168000034,65.5,1539846144,1535598592,18
23.01007620400003,66.38,1539846144,1535598592,18
23.221000008000033,67.24,1539846144,1535598592,18
23.443288452000047,68.14,1545564160,1541300224,18
23.65564691899999,68.78,1545621504,1541373952,18
23.872018266000055,69.44,1512955904,1508687872,18
24.085286214999996,69.91,1512955904,1508687872,18
24.298112928000023,70.36000000000001,1512955904,1508708352,18
24.51198729099997,70.8,1512955904,1508708352,18
24.721585747000063,71.22999999999999,1546018816,1541771264,18
24.934909099000038,71.74000000000001,1546084352,1541849088,18
25.144489858000043,72.16999999999999,1546084352,1541849088,18
25.35412159400005,72.6,1546084352,1541849088,18
25.565633530000014,73.05,1551618048,1547395072,21
25.779298116000064,73.97,1510342656,1506095104,18
25.989464773999998,74.8,1510342656,1506095104,18
26.199051542000007,75.61999999999999,1510342656,1506095104,18
26.40874985800008,76.46000000000001,1511550976,1507303424,18
26.618625371000007,77.3,1515700224,1511452672,18
26.828533212000025,78.21000000000001,1515737088,1511489536,18
27.038182063000022,79.05,1522634752,1518387200,18
27.257885688999977,79.97,1529257984,1525010432,18
27.470807956000044,80.72,1529257984,1525010432,18
27.682609392000018,81.3,1515798528,1511522304,22
27.896372161000045,81.77000000000001,1515790336,1511546880,18
28.11086134499999,82.2,1515790336,1511555072,18
28.32281952300002,82.62,1515790336,1511555072,18
28.532578174000037,83.05,1515790336,1511571456,18
28.744578614000034,83.55,1519394816,1515147264,18
28.95414637700003,84.01,1519394816,1515147264,18
29.163983626000004,84.44999999999999,1519394816,1515147264,18
29.374599022999973,84.88,1519669248,1515147264,18
29.58396347300004,85.45,1516089344,1511841792,35
29.794300856000064,86.18,1526231040,1521983488,18
30.00475842600008,87.03,1526231040,1521983488,18
30.21666427399998,87.86,1526231040,1521983488,18
30.42656372600004,88.69999999999999,1526231040,1521983488,18
30.63680053799999,89.62,1557954560,1553686528,18
30.846970904000045,90.48,1557954560,1553715200,18
31.056505621000042,91.31,1557954560,1553719296,18
31.26653308699997,92.14,1557979136,1553743872,18
31.49498406200007,92.96,1579798528,1575424000,37
31.710515396000005,93.91000000000001,1566502912,1562255360,19
31.92518179600006,94.78,1577672704,1573425152,19
32.13943082700007,95.63999999999999,1577672704,1573425152,19
32.350457119,96.49,1577672704,1573425152,19
32.561041218000014,97.39,1585537024,1579745280,34
32.770790605,98.19,1586765824,1582518272,19
32.98112310600004,99.05,1586831360,1582583808,19
33.19154846599997,99.87,1586831360,1582583808,19
33.406590152000035,100.71,1606819840,1601064960,19
33.62587320800003,101.52,1645629440,1641361408,19
33.839277871000036,102.42,1594449920,1590210560,19
34.05366120999997,103.30000000000001,1595957248,1588707328,19
34.26752734299998,104.13,1608011776,1603776512,19
34.479105075999996,104.96000000000001,1623855104,1610330112,19
34.69297634700001,105.89,1612161024,1607913472,19
34.90385473599997,106.73,1618190336,1613942784,19
35.11462124600007,107.55,1618190336,1613942784,19
35.33146967599998,108.36,1624289280,1620037632,19
35.54724839300002,109.22,1733627904,1729380352,19
35.761954102999994,110.18,1754980352,1750732800,19
35.98599309000008,111.22,1707577344,1703325696,19
36.21148516799997,112.46,1707577344,1703329792,19
36.43721052400008,113.69,1707577344,1703329792,19
36.65443232300004,114.86,1707577344,1703337984,19
36.86851816400008,115.8,1707577344,1703333888,19
37.082916006000005,116.67999999999999,1707577344,1703342080,19
37.29415283800006,117.51,1707577344,1703342080,19
37.52287368999998,118.42,1708032000,1703813120,19
37.76902100799998,119.25,1708032000,1703813120,19
37.99405871700003,120.04,1711570944,1707352064,19
38.222602790999986,120.86999999999999,1717608448,1713360896,19
38.43259303000002,121.85,1667481600,1663234048,19
38.64511072800008,122.71,1667481600,1663234048,19
38.861390837000044,123.58,1668689920,1663234048,19
39.077595442000074,124.47,1704599552,1700315136,25
39.29169466400003,125.38999999999999,1704628224,1700380672,19
39.502622815999985,126.22,1704628224,1700360192,19
39.71486664200006,127.08000000000001,1704697856,1700401152,28
39.92957560299999,127.97,1704734720,1700487168,19
40.14405863500008,128.94,1710350336,1706102784,19
40.35461679900004,129.75,1710350336,1706115072,19
40.56628085099999,130.61,1710350336,1706115072,19
40.77761410900007,131.46,1710350336,1706115072,19
40.993048509999994,132.34,1723584512,1719365632,19
41.20859381399998,133.37,1723654144,1719406592,19
41.41976321000004,134.22,1723654144,1719406592,19
