frame,timestamp,push_latency_ms
0.000000000000000000e+00,1.305031102175303936e+09,3.393602840000085052e+02
1.000000000000000000e+00,1.305031102511219025e+09,4.760162779999745908e+02
2.000000000000000000e+00,1.305031102843290091e+09,6.656539400000838214e+02
3.000000000000000000e+00,1.305031103175451994e+09,9.722503350000124556e+02
4.000000000000000000e+00,1.305031103511332989e+09,8.724836650000042937e+02
5.000000000000000000e+00,1.305031103843250990e+09,8.859703680000166059e+02
6.000000000000000000e+00,1.305031104175424099e+09,8.500650420000965823e+02
7.000000000000000000e+00,1.305031104511328936e+09,8.588722499999903448e+02
8.000000000000000000e+00,1.305031104843257904e+09,9.468647940000209928e+02
9.000000000000000000e+00,1.305031105175158978e+09,8.648031520000358796e+02
1.000000000000000000e+01,1.305031105511332035e+09,9.026698040000837864e+02
1.100000000000000000e+01,1.305031105843271017e+09,1.037244877999910386e+03
1.200000000000000000e+01,1.305031106175534010e+09,1.027251162999959888e+03
1.300000000000000000e+01,1.305031106511128902e+09,8.788879649999898902e+02
1.400000000000000000e+01,1.305031106843415976e+09,8.798559939999677226e+02
1.500000000000000000e+01,1.305031107175399065e+09,8.199469509999062211e+02
1.600000000000000000e+01,1.305031107511352062e+09,9.300287830000115719e+02
1.700000000000000000e+01,1.305031107843332052e+09,9.488516580000805334e+02
1.800000000000000000e+01,1.305031108176058054e+09,9.235478529999454622e+02
1.900000000000000000e+01,1.305031108511378050e+09,8.632959530000334780e+02
2.000000000000000000e+01,1.305031108843264103e+09,9.940983779999896797e+02
2.100000000000000000e+01,1.305031109175463915e+09,1.077532865999955902e+03
2.200000000000000000e+01,1.305031109511272907e+09,8.242966770000066390e+02
2.300000000000000000e+01,1.305031109843296051e+09,8.761023009999462374e+02
2.400000000000000000e+01,1.305031110175641060e+09,1.120118786000034561e+03
2.500000000000000000e+01,1.305031110511429071e+09,1.072977012000023933e+03
2.600000000000000000e+01,1.305031110843218088e+09,9.494349450000072466e+02
2.700000000000000000e+01,1.305031111179326057e+09,8.785994459999528772e+02
2.800000000000000000e+01,1.305031111511264086e+09,1.003995599000063521e+03
2.900000000000000000e+01,1.305031111843298912e+09,1.084619797000073049e+03
