frame,timestamp,push_latency_ms
0.000000000000000000e+00,1.305031452791719913e+09,6.443504459998621314e+02
1.000000000000000000e+00,1.305031453123632908e+09,1.006140890000096988e+03
2.000000000000000000e+00,1.305031453459685087e+09,1.384605184000065492e+03
3.000000000000000000e+00,1.305031453791716099e+09,1.835258403000352700e+03
4.000000000000000000e+00,1.305031454127701044e+09,1.717435071999716456e+03
5.000000000000000000e+00,1.305031454459913015e+09,1.657695173999854887e+03
6.000000000000000000e+00,1.305031454791640997e+09,1.727448574999925768e+03
7.000000000000000000e+00,1.305031455127695084e+09,1.857209291999879497e+03
8.000000000000000000e+00,1.305031455459589005e+09,1.702796457999738777e+03
9.000000000000000000e+00,1.305031455791666031e+09,1.925019996999708383e+03
1.000000000000000000e+01,1.305031456127645016e+09,1.638800201999856654e+03
1.100000000000000000e+01,1.305031456459609985e+09,3.541839059999801975e+03
1.200000000000000000e+01,1.305031456791649103e+09,1.363397167000130139e+03
1.300000000000000000e+01,1.305031457127631903e+09,1.351991688999987673e+03
1.400000000000000000e+01,1.305031457459614038e+09,1.896230489000117814e+03
1.500000000000000000e+01,1.305031457791567087e+09,4.630110322999826167e+03
1.600000000000000000e+01,1.305031458127604961e+09,1.328958258000056958e+03
1.700000000000000000e+01,1.305031458459636927e+09,1.215756914999928995e+03
1.800000000000000000e+01,1.305031458791631937e+09,1.686781877999692369e+03
1.900000000000000000e+01,1.305031459127618074e+09,4.114426213000115240e+03
2.000000000000000000e+01,1.305031459459678888e+09,1.333224318999782554e+03
2.100000000000000000e+01,1.305031459791650057e+09,1.284145645000080549e+03
2.200000000000000000e+01,1.305031460127690077e+09,1.603752485000313754e+03
2.300000000000000000e+01,1.305031460459619999e+09,5.409013777999916783e+03
2.400000000000000000e+01,1.305031460791660070e+09,1.207373442000061914e+03
2.500000000000000000e+01,1.305031461127585888e+09,1.072315572000206885e+03
2.600000000000000000e+01,1.305031461459780931e+09,1.634007063000353810e+03
2.700000000000000000e+01,1.305031461791611910e+09,4.409934832000089955e+03
2.800000000000000000e+01,1.305031462127738953e+09,1.562901951000185363e+03
2.900000000000000000e+01,1.305031462459897041e+09,1.097290363999945839e+03
3.000000000000000000e+01,1.305031462791943073e+09,1.647748884000066028e+03
3.100000000000000000e+01,1.305031463127549887e+09,1.258714326400013306e+04
3.200000000000000000e+01,1.305031463459755898e+09,1.186675852999997005e+03
3.300000000000000000e+01,1.305031463795646906e+09,1.344070304000069882e+03
3.400000000000000000e+01,1.305031464127681017e+09,1.371694967000166798e+03
3.500000000000000000e+01,1.305031464459688902e+09,4.844526119999954972e+03
3.600000000000000000e+01,1.305031464796020985e+09,1.158400067999991734e+03
3.700000000000000000e+01,1.305031465127664089e+09,1.226158804000078817e+03
3.800000000000000000e+01,1.305031465460124969e+09,1.286534146000121837e+03
3.900000000000000000e+01,1.305031465795937061e+09,5.248924561999956495e+03
4.000000000000000000e+01,1.305031466127640009e+09,1.199962303000120301e+03
4.100000000000000000e+01,1.305031466459789991e+09,1.210703363999982685e+03
4.200000000000000000e+01,1.305031466795603991e+09,1.598088780000125553e+03
4.300000000000000000e+01,1.305031467128973961e+09,1.312346726500027216e+04
4.400000000000000000e+01,1.305031467459692001e+09,1.183755313000347087e+03
4.500000000000000000e+01,1.305031467796075106e+09,1.217322657000295294e+03
4.600000000000000000e+01,1.305031468127815962e+09,1.764019462000305793e+03
4.700000000000000000e+01,1.305031468459758997e+09,5.086745106999842392e+03
4.800000000000000000e+01,1.305031468795795918e+09,1.187439852000352403e+03
4.900000000000000000e+01,1.305031469127679110e+09,1.270248872999673040e+03
5.000000000000000000e+01,1.305031469459667921e+09,1.811177811000106885e+03
5.100000000000000000e+01,1.305031469795620918e+09,5.998538388000270061e+03
5.200000000000000000e+01,1.305031470127633095e+09,1.207275478000155999e+03
5.300000000000000000e+01,1.305031470459721088e+09,1.222464222000326117e+03
5.400000000000000000e+01,1.305031470795614958e+09,1.629327575999923283e+03
5.500000000000000000e+01,1.305031471127662897e+09,1.577336804100013978e+04
5.600000000000000000e+01,1.305031471459646940e+09,1.170927080999717873e+03
5.700000000000000000e+01,1.305031471795800924e+09,1.185476926999854186e+03
5.800000000000000000e+01,1.305031472127593994e+09,1.497355727000012848e+03
5.900000000000000000e+01,1.305031472463603020e+09,5.711733871999967960e+03
6.000000000000000000e+01,1.305031472795639992e+09,1.300451007999981812e+03
6.100000000000000000e+01,1.305031473127743959e+09,1.066493275000084395e+03
